id,position,height,weight,games_played,assists,doubles,triples,rebounds,FT_per_game,FT_percentage,steals,lost_balls,fouls,dribbling_fouls,travels,block_fouls,block_fouls_recibidas,offensive_fouls,offensive_fouls_recibidas,rebound_fouls,rebound_fouls_recibidas,height_inches
1629718,Guard,6-6,199.0,37,0.43243243243243246,0.4594594594594595,0.24324324324324326,1.1081081081081081,0.35135135135135137,0.5909090909090909,0.3783783783783784,0.1891891891891892,1.054054054054054,0.0,0.0,0.5675675675675675,0.2702702702702703,0.0,0.08108108108108109,0.0,0.02702702702702703,78
1628973,Guard,6-2,190.0,348,4.140804597701149,4.747126436781609,0.896551724137931,3.2873563218390807,1.8160919540229885,0.6053639846743295,0.6724137931034483,0.8908045977011494,1.8045977011494252,0.0028735632183908046,0.05747126436781609,0.6982758620689655,1.2442528735632183,0.10632183908045977,0.39655172413793105,0.07758620689655173,0.09770114942528736,74
203504,Guard,6-0,185.0,454,2.8876651982378854,2.1101321585903086,1.4185022026431717,1.6431718061674008,0.7444933920704846,0.6003552397868561,0.5242290748898678,0.7599118942731278,1.2555066079295154,0.004405286343612335,0.03303964757709251,0.579295154185022,0.4933920704845815,0.048458149779735685,0.06387665198237885,0.037444933920704845,0.02643171806167401,72
202692,Guard,6-6,214.0,484,2.2417355371900825,2.5702479338842976,1.2479338842975207,3.830578512396694,1.9400826446280992,0.5977084659452578,0.7334710743801653,0.7458677685950413,1.9834710743801653,0.006198347107438017,0.07851239669421488,0.9111570247933884,1.4235537190082646,0.09504132231404959,0.2024793388429752,0.08884297520661157,0.08884297520661157,78
1630215,Guard,6-3,193.0,42,1.4285714285714286,1.2380952380952381,0.42857142857142855,1.0714285714285714,0.19047619047619047,0.5333333333333333,0.47619047619047616,0.5714285714285714,1.119047619047619,0.0,0.023809523809523808,0.5476190476190477,0.09523809523809523,0.047619047619047616,0.0,0.023809523809523808,0.0,75
202710,Forward,6-7,230.0,643,4.990668740279938,5.493001555209953,1.3203732503888024,5.917573872472784,4.331259720062208,0.5798459296273163,1.8367029548989113,1.1181959564541213,1.6376360808709176,0.003110419906687403,0.09797822706065319,0.7045101088646968,3.3079315707620527,0.1368584758942457,0.10108864696734059,0.09642301710730948,0.16329704510108864,79
1631288,Forward,6-6,191.0,15,0.7333333333333333,1.5333333333333334,0.4666666666666667,3.1333333333333333,0.8666666666666667,0.5909090909090909,0.5333333333333333,0.2,1.2666666666666666,0.0,0.0,0.5333333333333333,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,78
203484,Guard,6-5,204.0,705,1.775886524822695,2.218439716312057,1.8822695035460992,3.126241134751773,1.221276595744681,0.6463963963963963,1.1418439716312057,0.6453900709219859,1.876595744680851,0.005673758865248227,0.06666666666666667,0.8709219858156029,0.7531914893617021,0.03829787234042553,0.30354609929078014,0.04822695035460993,0.06382978723404255,77
1628427,Forward,6-8,236.0,129,0.7829457364341085,0.7906976744186046,0.4186046511627907,1.5348837209302326,0.29457364341085274,0.5757575757575758,0.24806201550387597,0.2713178294573643,0.8604651162790697,0.0,0.023255813953488372,0.4728682170542636,0.24031007751937986,0.06201550387596899,0.046511627906976744,0.015503875968992248,0.05426356589147287,80
1629962,Guard,6-2,183.0,11,1.0,0.5454545454545454,1.8181818181818181,1.0,0.9090909090909091,0.7142857142857143,0.8181818181818182,0.2727272727272727,1.5454545454545454,0.0,0.0,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,74
203991,Center,6-10,256.0,564,0.9627659574468085,5.161347517730497,0.03546099290780142,10.349290780141844,1.6028368794326242,0.5583693638048178,0.6914893617021277,0.46631205673758863,2.4166666666666665,0.005319148936170213,0.11347517730496454,1.150709219858156,1.3794326241134751,0.17198581560283688,0.044326241134751775,0.41312056737588654,0.17198581560283688,82
1630176,Center,6-10,270.0,36,0.1388888888888889,0.5555555555555556,0.16666666666666666,1.3611111111111112,0.4166666666666667,0.5769230769230769,0.1111111111111111,0.1111111111111111,0.6111111111111112,0.0,0.027777777777777776,0.4166666666666667,0.3333333333333333,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,82
1628975,Guard,6-1,200.0,294,1.6802721088435375,0.9693877551020408,0.8979591836734694,1.8605442176870748,0.22448979591836735,0.5789473684210527,0.6224489795918368,0.3435374149659864,1.3775510204081634,0.01020408163265306,0.05442176870748299,0.6496598639455783,0.11224489795918367,0.027210884353741496,0.061224489795918366,0.04421768707482993,0.013605442176870748,73
1627936,Guard,6-5,186.0,292,2.684931506849315,1.36986301369863,0.7123287671232876,2.5821917808219177,0.7876712328767124,0.5528846153846154,1.1472602739726028,0.8116438356164384,2.047945205479452,0.0136986301369863,0.017123287671232876,0.9726027397260274,0.5958904109589042,0.0273972602739726,0.3595890410958904,0.09246575342465753,0.05821917808219178,77
1626161,Center,7-0,240.0,385,1.3844155844155843,3.264935064935065,0.34285714285714286,5.771428571428571,1.2077922077922079,0.5548926014319809,0.8181818181818182,0.4701298701298701,2.324675324675325,0.007792207792207792,0.08051948051948052,1.3818181818181818,1.0285714285714285,0.11948051948051948,0.06753246753246753,0.14805194805194805,0.15584415584415584,84
1630577,Forward,6-7,217.0,14,0.6428571428571429,1.5714285714285714,1.7142857142857142,3.7857142857142856,0.7142857142857143,0.7692307692307693,0.35714285714285715,0.35714285714285715,1.5,0.0,0.0,1.1428571428571428,0.42857142857142855,0.07142857142857142,0.0,0.0,0.21428571428571427,79
1631113,Guard,5-11,170.0,30,1.6333333333333333,0.9333333333333333,0.1,1.0666666666666667,0.16666666666666666,0.5555555555555556,0.3333333333333333,0.3,0.4,0.0,0.1,0.16666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,71
1629597,Forward,6-5,220.0,4,0.5,1.25,0.0,1.5,0.0,0.0,0.25,0.25,1.75,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,77
1629185,Guard,5-11,175.0,91,2.208791208791209,0.7142857142857143,0.4835164835164835,1.2307692307692308,0.17582417582417584,0.5517241379310345,0.45054945054945056,0.5604395604395604,0.978021978021978,0.0,0.03296703296703297,0.4175824175824176,0.13186813186813187,0.02197802197802198,0.14285714285714285,0.03296703296703297,0.02197802197802198,71
